id,svg
fa1d8fa7-080f-4269-a9cf-a17562c9a0ca,"<svg width="256" height="256" viewBox="0 0 256 256" xmlns="http://www.w3.org/2000/svg">   <!-- Background -->   <rect width="256" height="256" fill="#f4f4f4"/>      <!-- Leaf (Green) -->   <path d="M180 120 Q 190 110 200 120 T 220 130" fill="#4CAF50"/>      <!-- Log 1 (Top) -->   <rect x="60" y="140" width="136" height="20" fill="#795548"/>   <rect x="60" y="140" width="136" height="20" fill="none" stroke="#5D4037" stroke-width="2"/>      <!-- Log 2 (Middle) -->   <rect x="70" y="170" width="116" height="20" fill="#8D6E63"/>   <rect x="70" y="170" width="116" height="20" fill="none" stroke="#5D4037" stroke-width="2"/>      <!-- Log 3 (Bottom) -->   <rect x="80" y="200" width="96" height="20" fill="#A1887F"/>   <rect x="80" y="200" width="96" height="20" fill="none" stroke="#5D4037" stroke-width="2"/>      <!-- Fire Spark (Orange/Yellow) -->   <circle cx="190" cy="110" r="5" fill="#FFEB3B"/>   <circle cx="195" cy="105" r="3" fill="#FF9800"/> </svg>"
6eede943219547c22ac56085027d33cc,"<svg width="256" height="256" viewBox="0 0 256 256" xmlns="http://www.w3.org/2000/svg">   <!-- Line 1 (Top, thickest, longest) -->   <rect x="40" y="40" width="180" height="10" fill="#000000"/>      <!-- Line 2 -->   <rect x="50" y="80" width="160" height="8" fill="#000000"/>      <!-- Line 3 -->   <rect x="60" y="120" width="140" height="6" fill="#000000"/>      <!-- Line 4 -->   <rect x="70" y="160" width="120" height="4" fill="#000000"/>      <!-- Line 5 (Bottom, thinnest, shortest) -->   <rect x="80" y="200" width="100" height="2" fill="#000000"/> </svg>"
ea045c7a247166f061ce504d9b7ccaab,"<svg width="256" height="256" viewBox="0 0 256 256" xmlns="http://www.w3.org/2000/svg">   <!-- Square Container -->   <rect x="40" y="40" width="176" height="176" fill="none" stroke="#333" stroke-width="8" stroke-linejoin="round"/>      <!-- Curved Arrow -->   <path d="M 120 120 Q 160 120 160 160 T 120 200" fill="none" stroke="#333" stroke-width="8" stroke-linecap="round" stroke-linejoin="round"/>   <!-- Arrowhead -->   <polygon points="160,160 170,170 150,170" fill="#333"/> </svg>"
8fe82f3af89e487b31236ca829c3f071,"<svg width="256" height="256" viewBox="0 0 256 256" xmlns="http://www.w3.org/2000/svg">   <!-- White Background -->   <rect width="256" height="256" fill="white"/>      <!-- Abstract Person (Black Geometric Shapes) -->   <!-- Head -->   <circle cx="128" cy="100" r="25" fill="black"/>      <!-- Body -->   <rect x="100" y="125" width="56" height="60" fill="black"/>      <!-- Chair (Abstract Representation) -->   <!-- Seat -->   <rect x="90" y="190" width="76" height="20" fill="black"/>   <!-- Backrest -->   <rect x="100" y="140" width="56" height="50" fill="black"/> </svg>"
600464e4d92c75338462271a09b3f176,"<svg width="256" height="256" viewBox="0 0 256 256" xmlns="http://www.w3.org/2000/svg">   <polygon points="128,24 208,24 128,120" fill="#424242"/> </svg>"
9e831fb6831745f4d15156b7a95e4f92,"<svg width="256" height="256" viewBox="0 0 256 256" xmlns="http://www.w3.org/2000/svg">   <!-- Orange Hexagon -->   <polygon points="128,24 147.5,64 208,64 160,112 112,160 64,112 24,64 83.5,64"             fill="#FF8C00" stroke="#E67E00" stroke-width="4"/>      <!-- Number 13 -->   <text x="128" y="135" font-family="Arial, sans-serif" font-size="48" font-weight="bold" fill="#FFFFFF" text-anchor="middle">13</text> </svg>"
8cbefcd53fd5dfa2cbe1b374356ed709,"<svg width="256" height="256" viewBox="0 0 256 256" xmlns="http://www.w3.org/2000/svg">   <!-- White circular background -->   <circle cx="128" cy="128" r="120" fill="white"/>      <!-- Blue outlined camera icon -->   <g fill="none" stroke="#007bff" stroke-width="4" stroke-linecap="round" stroke-linejoin="round">     <!-- Camera body -->     <rect x="64" y="80" width="128" height="80" rx="10"/>     <!-- Lens -->     <circle cx="128" cy="120" r="20"/>     <!-- Lens highlight -->     <circle cx="128" cy="120" r="10" fill="white"/>     <!-- Flash -->     <rect x="160" y="100" width="20" height="20" rx="5"/>   </g> </svg>"
625181a2-600d-4db5-83c6-1a34676eb0dc,"<svg width="256" height="256" viewBox="0 0 256 256" xmlns="http://www.w3.org/2000/svg">   <!-- Eye Shape -->   <ellipse cx="128" cy="128" rx="60" ry="40" fill="none" stroke="black" stroke-width="4"/>      <!-- Iris -->   <circle cx="128" cy="128" r="25" fill="black"/>      <!-- Pupil -->   <circle cx="128" cy="128" r="10" fill="black"/>      <!-- Eyelashes (Top) -->   <path d="M 90 90 L 90 80 M 100 85 L 100 75 M 110 80 L 110 70 M 120 85 L 120 75 M 130 80 L 130 70 M 140 85 L 140 75 M 150 80 L 150 70" stroke="black" stroke-width="2" fill="none"/>      <!-- Eyelashes (Bottom) -->   <path d="M 90 160 L 90 170 M 100 165 L 100 175 M 110 170 L 110 180 M 120 165 L 120 175 M 130 170 L 130 180 M 140 165 L 140 175 M 150 170 L 150 180" stroke="black" stroke-width="2" fill="none"/> </svg>"
8ba1bd7c-211c-43b0-a4aa-0e6e33c92486,"<svg width="256" height="256" viewBox="0 0 256 256" xmlns="http://www.w3.org/2000/svg">   <path d="M128 48c-32 0-56 24-56 56 0 16 8 32 24 40v16h64v-16c16-8 24-24 24-40 0-32-24-56-56-56z" fill="#E0E0E0"/>   <path d="M128 104c-32 0-56 24-56 56 0 16 8 32 24 40v16h64v-16c16-8 24-24 24-40 0-32-24-56-56-56z" fill="#BDBDBD"/> </svg>"
4e56e508270eb0d02291927638d3c685,"<svg width="256" height="256" viewBox="0 0 256 256" xmlns="http://www.w3.org/2000/svg">   <path d="M128 24C64 24 24 64 24 128C24 192 64 232 128 232C192 232 232 192 232 128C232 64 192 24 128 24ZM128 48C160 48 184 72 184 104C184 136 160 160 128 160C96 160 72 136 72 104C72 72 96 48 128 48Z" fill="none" stroke="#424242" stroke-width="8" stroke-linecap="round" stroke-linejoin="round"/> </svg>"
